,2010,,,,,,,,,,,2013,,,,,,,,
Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF,,Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF
Mexico,"130,755.00",113.41,"253,760.01","5,390.87",26.95,"6,442.94",0,,0,,Mexico,"194,378.32",100,"287,441.78","5,005.67",22.56,"6,247.48",0,0,0
Micronesia (Federated States of),"32,550.71",4.14,36.5,22.62,10.84,0.42,0,,25.07,,Micronesia (Federated States of),0,0,0,21.13,9.28,0.4,0,0,53.42
Monaco,326.98,0,0.88,0,0,0,0,,0,,Monaco,0,0,0,0,0,0,0,0,0
Mongolia,"25,608.40",0.96,"1,066.07",0,0.04,0,0,,0,,Mongolia,"51,850.26",0,159.91,0,0.05,0,0,0,0
Montenegro,"259,099.40",0.53,"1,654.49",0.16,0,0,0,,0,,Montenegro,382.02,0,54.22,0.11,0,0,0,0,0
Montserrat,"538,243.47","1,892,172.50","290,457.02",0,473.61,151.84,288.5,,230.06,,Montserrat,0,0,0,0,0,0,0,0,0
Morocco,"1,364,661.12","60,935.43","104,558.55",433.43,0.29,64.47,"2,864.39",,183.19,,Morocco,"205,187.75",400,"20,889.17",400.15,0.34,64.31,"2,969.81",0,0
Mozambique,"582,407.80","3,366,805.19","3,888,521.53","19,063.72","8,332.19","8,104.03","25,775.31",,"44,335.17",,Mozambique,"1,043,357.31","3,535,184.84","5,189,633.17","15,046.15","13,791.67","9,594.70","23,105.53",0,"41,955.20"
Myanmar,"1,122,430.00","1,225,710.00","1,098,668.52","7,744.98",806.53,"3,786.04",0,,"73,183.63",,Myanmar,"1,499,869.38","553,700.00","473,899.60","4,956.92",490.17,"2,553.17",0,0,"57,579.34"
Namibia,"482,421.95","26,577.75","265,988.49",325.65,"1,825.01",73.63,"1,522.84",,177.84,,Namibia,"179,620.69","18,196.13","310,446.62",14.05,688.07,6.03,"1,658.96",0,0
Nauru,"3,971.45",0,16.95,0,0,0,0,,0,,Nauru,0,0,0,0,0,0,0,0,0
Nepal,"359,659.00","30,423.00","217,743.66","2,939.61","12,245.97","1,639.81",0,,"30,099.50",,Nepal,"527,231.63","23,800.00","86,558.75","2,465.36","13,133.27","1,639.68",0,0,"23,759.88"
Netherlands,"3,951.89",5.52,"5,213.59",0,0,0,0,,0,,Netherlands,"4,791.42",0,"4,219.40",0,0,0,0,0,0
New Caledonia,"18,461.72",29.35,687.99,0,0,0,0,,0,,New Caledonia,0,0,0,0,0,0,0,0,0
